,AP @[IoU=0.50:0.95|area=all|maxDets=10],AP @[IoU=0.5|area=all|maxDets=100],AP @[IoU=0.75|area=all|maxDets=100],AR @[IoU=0.50:0.95|area=all|maxDets=10],AR @[IoU=0.50:0.95|area=all|maxDets=100],Dataset,Model,Backbone,Interpolation,Snapshot,FPS,Split,DeviceType,DeviceName
0,0.722,0.958,0.852,0.709,0.798,2class,CPNDET,DLA34,None,20000,16.82,minival,GPU,NVIDIA GeForce RTX 3090
0,0.719,0.955,0.85,0.718,0.796,2class,CPNDET,DLA34,None,20000,16.55,testdev,GPU,NVIDIA GeForce RTX 3090
0,0.651,0.931,0.751,0.706,0.734,11class,CPNDET,HG104,bilinear,30000,5.69,minival,GPU,NVIDIA GeForce RTX 3090
0,0.648,0.924,0.749,0.704,0.734,11class,CPNDET,HG104,bilinear,30000,5.83,testdev,GPU,NVIDIA GeForce RTX 3090
0,0.724,0.955,0.861,0.712,0.803,2class,CPNDET,HG104,bilinear,20000,5.24,minival,GPU,NVIDIA GeForce RTX 3090
0,0.72,0.95,0.853,0.717,0.798,2class,CPNDET,HG104,bilinear,20000,5.23,testdev,GPU,NVIDIA GeForce RTX 3090
0,0.679,0.94,0.797,0.726,0.754,11class,CPNDET,HG52,bilinear,30000,7.94,minival,GPU,NVIDIA GeForce RTX 3090
0,0.667,0.926,0.782,0.718,0.746,11class,CPNDET,HG52,bilinear,30000,8.28,testdev,GPU,NVIDIA GeForce RTX 3090
0,0.679,0.941,0.785,0.726,0.754,11class,CPNDET,HG52,bicubic,30000,7.76,minival,GPU,NVIDIA GeForce RTX 3090
0,0.669,0.926,0.782,0.721,0.75,11class,CPNDET,HG52,bicubic,30000,8.11,testdev,GPU,NVIDIA GeForce RTX 3090
0,0.72,0.958,0.854,0.712,0.804,2class,CPNDET,HG52,bilinear,20000,7.32,minival,GPU,NVIDIA GeForce RTX 3090
0,0.722,0.956,0.853,0.718,0.803,2class,CPNDET,HG52,bilinear,20000,7.39,testdev,GPU,NVIDIA GeForce RTX 3090
